germplasmName,study_db_id,value,studyName
MN21176,10732,4953.7,AY3-8_YIELD_ROS-MN_2022
MN21491,10732,5472.3,AY3-8_YIELD_ROS-MN_2022
MN21482,10732,5150.4,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21355,10732,5311.4,AY3-8_YIELD_ROS-MN_2022
MN21164,10732,4757.0,AY3-8_YIELD_ROS-MN_2022
MN21287,10732,3773.4,AY3-8_YIELD_ROS-MN_2022
MN21415,10732,3970.1,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5186.2,AY3-8_YIELD_ROS-MN_2022
MN21357,10732,5382.9,AY3-8_YIELD_ROS-MN_2022
MN21114,10732,4989.5,AY3-8_YIELD_ROS-MN_2022
MN21195,10732,5436.6,AY3-8_YIELD_ROS-MN_2022
MN21272,10732,5132.6,AY3-8_YIELD_ROS-MN_2022
MN21002,10732,5365.0,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5919.4,AY3-8_YIELD_ROS-MN_2022
MN21227,10732,6241.3,AY3-8_YIELD_ROS-MN_2022
MN21167,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
MN21087,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21263,10732,5651.2,AY3-8_YIELD_ROS-MN_2022
MN21073,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21295,10732,5239.9,AY3-8_YIELD_ROS-MN_2022
MN21005,10732,4828.5,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5186.2,AY3-8_YIELD_ROS-MN_2022
MN21089,10732,6688.4,AY3-8_YIELD_ROS-MN_2022
MN21243,10732,4846.4,AY3-8_YIELD_ROS-MN_2022
MN21213,10732,5061.0,AY3-8_YIELD_ROS-MN_2022
MN21275,10732,5436.6,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,4900.1,AY3-8_YIELD_ROS-MN_2022
MN21012,10732,3845.0,AY3-8_YIELD_ROS-MN_2022
MN21148,10732,3934.4,AY3-8_YIELD_ROS-MN_2022
MN21381,10732,4488.8,AY3-8_YIELD_ROS-MN_2022
MN21413,10732,3862.8,AY3-8_YIELD_ROS-MN_2022
MN21158,10732,4149.0,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,5579.6,AY3-8_YIELD_ROS-MN_2022
MN21135,10732,5329.3,AY3-8_YIELD_ROS-MN_2022
MN21367,10732,4041.7,AY3-8_YIELD_ROS-MN_2022
MN21046,10732,4542.4,AY3-8_YIELD_ROS-MN_2022
UMN09,10732,5186.2,AY3-8_YIELD_ROS-MN_2022
MN21307,10732,5222.0,AY3-8_YIELD_ROS-MN_2022
MN21053,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21306,10732,4953.7,AY3-8_YIELD_ROS-MN_2022
MN21302,10732,5043.1,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5865.8,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21486,10732,5400.8,AY3-8_YIELD_ROS-MN_2022
MN21290,10732,5543.9,AY3-8_YIELD_ROS-MN_2022
MN21484,10732,5508.1,AY3-8_YIELD_ROS-MN_2022
MN21315,10732,5651.2,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN21422,10732,5222.0,AY3-8_YIELD_ROS-MN_2022
MN21487,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21175,10732,4327.8,AY3-8_YIELD_ROS-MN_2022
MN21037,10732,5740.6,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6116.2,AY3-8_YIELD_ROS-MN_2022
MN21358,10732,4792.8,AY3-8_YIELD_ROS-MN_2022
MN21475,10732,4005.9,AY3-8_YIELD_ROS-MN_2022
MN21069,10732,5722.7,AY3-8_YIELD_ROS-MN_2022
MN21504,10732,5615.4,AY3-8_YIELD_ROS-MN_2022
MN21082,10732,5043.1,AY3-8_YIELD_ROS-MN_2022
MN-Torgy,10732,6008.9,AY3-8_YIELD_ROS-MN_2022
MN21485,10732,4649.7,AY3-8_YIELD_ROS-MN_2022
MN21292,10732,5937.3,AY3-8_YIELD_ROS-MN_2022
MN21429,10732,5293.5,AY3-8_YIELD_ROS-MN_2022
MN21300,10732,5400.8,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10732,5687.0,AY3-8_YIELD_ROS-MN_2022
MN21493,10732,5526.0,AY3-8_YIELD_ROS-MN_2022
MN21161,10732,4649.7,AY3-8_YIELD_ROS-MN_2022
MN21030,10732,5901.6,AY3-8_YIELD_ROS-MN_2022
MN21269,10732,5865.8,AY3-8_YIELD_ROS-MN_2022
MN21169,10732,4935.8,AY3-8_YIELD_ROS-MN_2022
MN21034,10732,5830.0,AY3-8_YIELD_ROS-MN_2022
SHELLY,10732,6545.4,AY3-8_YIELD_ROS-MN_2022
MN21304,10732,5436.6,AY3-8_YIELD_ROS-MN_2022
MN21293,10732,5543.9,AY3-8_YIELD_ROS-MN_2022
MN21386,10732,4578.2,AY3-8_YIELD_ROS-MN_2022
MN21466,10732,5365.0,AY3-8_YIELD_ROS-MN_2022
MN-ROTHSAY,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN21329,10696,6491.7,AY3-8_YIELD_STE-MN_2022
MN21127,10696,6366.5,AY3-8_YIELD_STE-MN_2022
MN21292,10696,6151.9,AY3-8_YIELD_STE-MN_2022
MN21290,10696,5830.0,AY3-8_YIELD_STE-MN_2022
MN21184,10696,6259.2,AY3-8_YIELD_STE-MN_2022
MN21489,10696,6312.9,AY3-8_YIELD_STE-MN_2022
UMN09,10696,5740.6,AY3-8_YIELD_STE-MN_2022
MN21385,10696,5722.7,AY3-8_YIELD_STE-MN_2022
MN21316,10696,5687.0,AY3-8_YIELD_STE-MN_2022
MN21047,10696,5257.7,AY3-8_YIELD_STE-MN_2022
MN21058,10696,5114.7,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6670.5,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6688.4,AY3-8_YIELD_STE-MN_2022
MN21293,10696,5812.1,AY3-8_YIELD_STE-MN_2022
MN21060,10696,6956.7,AY3-8_YIELD_STE-MN_2022
MN21438,10696,6384.4,AY3-8_YIELD_STE-MN_2022
MN21413,10696,6652.7,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6563.2,AY3-8_YIELD_STE-MN_2022
MN21210,10696,6509.6,AY3-8_YIELD_STE-MN_2022
MN21013,10696,6688.4,AY3-8_YIELD_STE-MN_2022
MN21504,10696,6527.5,AY3-8_YIELD_STE-MN_2022
MN21405,10696,6652.7,AY3-8_YIELD_STE-MN_2022
MN21340,10696,5543.9,AY3-8_YIELD_STE-MN_2022
UMN09,10696,5597.5,AY3-8_YIELD_STE-MN_2022
MN21260,10696,5865.8,AY3-8_YIELD_STE-MN_2022
MN21401,10696,6473.8,AY3-8_YIELD_STE-MN_2022
MN21034,10696,5973.1,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6992.4,AY3-8_YIELD_STE-MN_2022
MN21001,10696,5150.4,AY3-8_YIELD_STE-MN_2022
MN21090,10696,6760.0,AY3-8_YIELD_STE-MN_2022
MN21162,10696,6169.8,AY3-8_YIELD_STE-MN_2022
MN21399,10696,5526.0,AY3-8_YIELD_STE-MN_2022
UMN09,10696,6008.9,AY3-8_YIELD_STE-MN_2022
MN21011,10696,5347.2,AY3-8_YIELD_STE-MN_2022
MN21484,10696,5615.4,AY3-8_YIELD_STE-MN_2022
MN21114,10696,6491.7,AY3-8_YIELD_STE-MN_2022
MN21315,10696,6044.6,AY3-8_YIELD_STE-MN_2022
MN21010,10696,4971.6,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6491.7,AY3-8_YIELD_STE-MN_2022
MN21195,10696,5436.6,AY3-8_YIELD_STE-MN_2022
MN21274,10696,6169.8,AY3-8_YIELD_STE-MN_2022
MN21243,10696,5883.7,AY3-8_YIELD_STE-MN_2022
MN21463,10696,5186.2,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6312.9,AY3-8_YIELD_STE-MN_2022
MN21476,10696,5901.6,AY3-8_YIELD_STE-MN_2022
MN21273,10696,5418.7,AY3-8_YIELD_STE-MN_2022
MN21474,10696,6581.1,AY3-8_YIELD_STE-MN_2022
MN21291,10696,5973.1,AY3-8_YIELD_STE-MN_2022
MN21311,10696,6151.9,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6795.7,AY3-8_YIELD_STE-MN_2022
MN21286,10696,4774.9,AY3-8_YIELD_STE-MN_2022
MN21024,10696,6169.8,AY3-8_YIELD_STE-MN_2022
MN21327,10696,6205.6,AY3-8_YIELD_STE-MN_2022
MN21087,10696,6760.0,AY3-8_YIELD_STE-MN_2022
UMN09,10696,5597.5,AY3-8_YIELD_STE-MN_2022
MN21197,10696,5865.8,AY3-8_YIELD_STE-MN_2022
MN21226,10696,5615.4,AY3-8_YIELD_STE-MN_2022
MN21272,10696,5883.7,AY3-8_YIELD_STE-MN_2022
MN21143,10696,6026.7,AY3-8_YIELD_STE-MN_2022
MN21194W,10696,7403.8,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6205.6,AY3-8_YIELD_STE-MN_2022
MN21370,10696,6742.1,AY3-8_YIELD_STE-MN_2022
MN21005,10696,5615.4,AY3-8_YIELD_STE-MN_2022
MN21135,10696,6384.4,AY3-8_YIELD_STE-MN_2022
MN21423,10696,5239.9,AY3-8_YIELD_STE-MN_2022
UMN09,10696,5078.9,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6384.4,AY3-8_YIELD_STE-MN_2022
MN21367,10696,6330.8,AY3-8_YIELD_STE-MN_2022
MN21110,10696,6330.8,AY3-8_YIELD_STE-MN_2022
MN21264,10696,6080.4,AY3-8_YIELD_STE-MN_2022
MN21485,10696,5436.6,AY3-8_YIELD_STE-MN_2022
MN21054,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN21161,10696,5776.4,AY3-8_YIELD_STE-MN_2022
MN21491,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN21473,10696,5830.0,AY3-8_YIELD_STE-MN_2022
MN21328,10696,6688.4,AY3-8_YIELD_STE-MN_2022
MN21466,10696,5776.4,AY3-8_YIELD_STE-MN_2022
MN21101,10696,5418.7,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,5847.9,AY3-8_YIELD_STE-MN_2022
MN21475,10696,4649.7,AY3-8_YIELD_STE-MN_2022
MN21144,10696,6080.4,AY3-8_YIELD_STE-MN_2022
MN21415,10696,6205.6,AY3-8_YIELD_STE-MN_2022
MN21217,10696,5794.3,AY3-8_YIELD_STE-MN_2022
MN21063,10696,6420.2,AY3-8_YIELD_STE-MN_2022
UMN09,10696,6080.4,AY3-8_YIELD_STE-MN_2022
MN21227,10696,6885.1,AY3-8_YIELD_STE-MN_2022
MN21082,10696,5758.5,AY3-8_YIELD_STE-MN_2022
MN21480,10696,5901.6,AY3-8_YIELD_STE-MN_2022
MN21275,10696,7207.0,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6634.8,AY3-8_YIELD_STE-MN_2022
MN21358,10696,6295.0,AY3-8_YIELD_STE-MN_2022
MN21012,10696,5758.5,AY3-8_YIELD_STE-MN_2022
MN21359,10696,6044.6,AY3-8_YIELD_STE-MN_2022
MN21129,10696,5347.2,AY3-8_YIELD_STE-MN_2022
MN21115,10696,5543.9,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,7081.9,AY3-8_YIELD_STE-MN_2022
MN21406,10696,6330.8,AY3-8_YIELD_STE-MN_2022
MN21386,10696,5418.7,AY3-8_YIELD_STE-MN_2022
MN21176,10696,6473.8,AY3-8_YIELD_STE-MN_2022
MN21298,10696,6509.6,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN21493,10696,5222.0,AY3-8_YIELD_STE-MN_2022
MN21468,10696,5329.3,AY3-8_YIELD_STE-MN_2022
MN21266,10696,6223.5,AY3-8_YIELD_STE-MN_2022
MN21271,10696,6187.7,AY3-8_YIELD_STE-MN_2022
MN21052,10696,5651.2,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6616.9,AY3-8_YIELD_STE-MN_2022
MN21169,10696,5722.7,AY3-8_YIELD_STE-MN_2022
MN21069,10696,5490.2,AY3-8_YIELD_STE-MN_2022
MN21002,10696,5436.6,AY3-8_YIELD_STE-MN_2022
MN21049,10696,5293.5,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6938.8,AY3-8_YIELD_STE-MN_2022
MN21148,10696,5830.0,AY3-8_YIELD_STE-MN_2022
MN21159,10696,5561.8,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,7296.5,AY3-8_YIELD_STE-MN_2022
MN21418,10696,5150.4,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6760.0,AY3-8_YIELD_STE-MN_2022
MN21067,10696,5436.6,AY3-8_YIELD_STE-MN_2022
MN21164,10696,6724.2,AY3-8_YIELD_STE-MN_2022
MN21304,10696,5687.0,AY3-8_YIELD_STE-MN_2022
MN21061,10696,6151.9,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10696,6277.1,AY3-8_YIELD_STE-MN_2022
MN21053,10696,5579.6,AY3-8_YIELD_STE-MN_2022
MN21147,10696,5132.6,AY3-8_YIELD_STE-MN_2022
MN21080,10696,5633.3,AY3-8_YIELD_STE-MN_2022
MN21357,10696,7028.2,AY3-8_YIELD_STE-MN_2022
MN21306,10696,5776.4,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6974.6,AY3-8_YIELD_STE-MN_2022
MN21402,10696,5758.5,AY3-8_YIELD_STE-MN_2022
MN21470,10696,6920.9,AY3-8_YIELD_STE-MN_2022
MN21472,10696,6795.7,AY3-8_YIELD_STE-MN_2022
MN21299,10696,6259.2,AY3-8_YIELD_STE-MN_2022
UMN09,10696,6062.5,AY3-8_YIELD_STE-MN_2022
MN21381,10696,67.1,AY3-8_YIELD_STE-MN_2022
MN21230,10696,5472.3,AY3-8_YIELD_STE-MN_2022
MN21065,10696,6545.4,AY3-8_YIELD_STE-MN_2022
MN21477,10696,6885.1,AY3-8_YIELD_STE-MN_2022
MN21429,10696,5955.2,AY3-8_YIELD_STE-MN_2022
MN21407,10696,5955.2,AY3-8_YIELD_STE-MN_2022
MN21045,10696,6008.9,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6634.8,AY3-8_YIELD_STE-MN_2022
MN21100,10696,5830.0,AY3-8_YIELD_STE-MN_2022
MN21483,10696,6545.4,AY3-8_YIELD_STE-MN_2022
MN21089,10696,6509.6,AY3-8_YIELD_STE-MN_2022
MN21214,10696,5973.1,AY3-8_YIELD_STE-MN_2022
SHELLY,10696,6473.8,AY3-8_YIELD_STE-MN_2022
MN21150,10696,6670.5,AY3-8_YIELD_STE-MN_2022
MN21072,10696,6438.1,AY3-8_YIELD_STE-MN_2022
MN21048W,10696,4918.0,AY3-8_YIELD_STE-MN_2022
MN21098,10696,5955.2,AY3-8_YIELD_STE-MN_2022
MN21422,10696,5293.5,AY3-8_YIELD_STE-MN_2022
MN-Torgy,10696,6402.3,AY3-8_YIELD_STE-MN_2022
MN21355,10696,5043.1,AY3-8_YIELD_STE-MN_2022
MN21097,10696,5687.0,AY3-8_YIELD_STE-MN_2022
MN21270,10696,5865.8,AY3-8_YIELD_STE-MN_2022
MN21168,10696,67.1,AY3-8_YIELD_STE-MN_2022
UMN09,10696,4435.1,AY3-8_YIELD_STE-MN_2022
MN21046,10696,4757.0,AY3-8_YIELD_STE-MN_2022
MN-ROTHSAY,10155,7363.875,23Steph_AY1-3_PY3-4_Yield
MN21385-1,10155,6408.925,23Steph_AY1-3_PY3-4_Yield
MN22418,10155,5951.625,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,6946.925,23Steph_AY1-3_PY3-4_Yield
MN22355,10155,7135.225,23Steph_AY1-3_PY3-4_Yield
MN21406-1,10155,6065.95,23Steph_AY1-3_PY3-4_Yield
MN22022,10155,6664.475,23Steph_AY1-3_PY3-4_Yield
MN22345,10155,6772.075,23Steph_AY1-3_PY3-4_Yield
MN21150-3,10155,6489.625,23Steph_AY1-3_PY3-4_Yield
MN22335,10155,6442.55,23Steph_AY1-3_PY3-4_Yield
MN21135-2,10155,6758.625,23Steph_AY1-3_PY3-4_Yield
MN22070,10155,5655.725,23Steph_AY1-3_PY3-4_Yield
MN22099,10155,6792.25,23Steph_AY1-3_PY3-4_Yield
MN22427,10155,6476.175,23Steph_AY1-3_PY3-4_Yield
MN22376,10155,7189.025,23Steph_AY1-3_PY3-4_Yield
MN22350,10155,6456,23Steph_AY1-3_PY3-4_Yield
MN21144-1,10155,5850.75,23Steph_AY1-3_PY3-4_Yield
MN22207,10155,6718.275,23Steph_AY1-3_PY3-4_Yield
MN22201,10155,7195.75,23Steph_AY1-3_PY3-4_Yield
MN22253,10155,6536.7,23Steph_AY1-3_PY3-4_Yield
MN22064,10155,7424.4,23Steph_AY1-3_PY3-4_Yield
MN-TORGY,10155,6785.525,23Steph_AY1-3_PY3-4_Yield
MN21034-3,10155,6677.925,23Steph_AY1-3_PY3-4_Yield
MN22155,10155,#VALUE!,23Steph_AY1-3_PY3-4_Yield
MN22193,10155,7215.925,23Steph_AY1-3_PY3-4_Yield
MN22263,10155,7424.4,23Steph_AY1-3_PY3-4_Yield
MN22395,10155,7733.75,23Steph_AY1-3_PY3-4_Yield
MN22225,10155,6583.775,23Steph_AY1-3_PY3-4_Yield
MN21089-4,10155,6503.075,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,7195.75,23Steph_AY1-3_PY3-4_Yield
MN22375,10155,6758.625,23Steph_AY1-3_PY3-4_Yield
SHELLY,10155,7605.975,23Steph_AY1-3_PY3-4_Yield
MN22416,10155,7094.875,23Steph_AY1-3_PY3-4_Yield
MN22146,10155,7000.725,23Steph_AY1-3_PY3-4_Yield
MN22360,10155,6207.175,23Steph_AY1-3_PY3-4_Yield
LINKERT,10155,5756.6,23Steph_AY1-3_PY3-4_Yield
MN22275,10155,7330.25,23Steph_AY1-3_PY3-4_Yield
MN22329,10155,6496.35,23Steph_AY1-3_PY3-4_Yield
MN21370-2,10155,6610.675,23Steph_AY1-3_PY3-4_Yield
MN22464,10155,6738.45,23Steph_AY1-3_PY3-4_Yield
MN22167,10155,7774.1,23Steph_AY1-3_PY3-4_Yield
MN22259,10155,6308.05,23Steph_AY1-3_PY3-4_Yield
MN22063,10155,7081.425,23Steph_AY1-3_PY3-4_Yield
MN22400,10155,6704.825,23Steph_AY1-3_PY3-4_Yield
MN21005-4,10155,6065.95,23Steph_AY1-3_PY3-4_Yield
MN22186,10155,6630.85,23Steph_AY1-3_PY3-4_Yield
MN22065,10155,6738.45,23Steph_AY1-3_PY3-4_Yield
MN22061,10155,7014.175,23Steph_AY1-3_PY3-4_Yield
MN22385,10155,6597.225,23Steph_AY1-3_PY3-4_Yield
MN22194,10155,7276.45,23Steph_AY1-3_PY3-4_Yield
MN21143-4,10155,6677.925,23Steph_AY1-3_PY3-4_Yield
MN21269-2,10155,6072.675,23Steph_AY1-3_PY3-4_Yield
MN22384,10155,6133.2,23Steph_AY1-3_PY3-4_Yield
MN22141,10155,6025.6,23Steph_AY1-3_PY3-4_Yield
MN22365,10155,6308.05,23Steph_AY1-3_PY3-4_Yield
MN22199,10155,6684.65,23Steph_AY1-3_PY3-4_Yield
MN22169,10155,6725,23Steph_AY1-3_PY3-4_Yield
MN22071,10155,7182.3,23Steph_AY1-3_PY3-4_Yield
MN22326,10155,6725,23Steph_AY1-3_PY3-4_Yield
MN22374,10155,7148.675,23Steph_AY1-3_PY3-4_Yield
MN22248,10155,7041.075,23Steph_AY1-3_PY3-4_Yield
MN22273,10155,6617.4,23Steph_AY1-3_PY3-4_Yield
MN22452,10155,6334.95,23Steph_AY1-3_PY3-4_Yield
MN-TORGY,10155,6139.925,23Steph_AY1-3_PY3-4_Yield
MN22356,10155,6496.35,23Steph_AY1-3_PY3-4_Yield
MN22182,10155,5783.5,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,6758.625,23Steph_AY1-3_PY3-4_Yield
MN21172-3,10155,6819.15,23Steph_AY1-3_PY3-4_Yield
MN22157,10155,6065.95,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,6247.525,23Steph_AY1-3_PY3-4_Yield
MN22009,10155,6059.225,23Steph_AY1-3_PY3-4_Yield
MN22113,10155,7135.225,23Steph_AY1-3_PY3-4_Yield
MN22120,10155,7444.575,23Steph_AY1-3_PY3-4_Yield
MN22123,10155,7014.175,23Steph_AY1-3_PY3-4_Yield
MN22309,10155,6287.875,23Steph_AY1-3_PY3-4_Yield
SHELLY,10155,6482.9,23Steph_AY1-3_PY3-4_Yield
MN22128,10155,7384.05,23Steph_AY1-3_PY3-4_Yield
MN22140,10155,6361.85,23Steph_AY1-3_PY3-4_Yield
MN22219,10155,7242.825,23Steph_AY1-3_PY3-4_Yield
MN22103,10155,7020.9,23Steph_AY1-3_PY3-4_Yield
MN22344,10155,5709.525,23Steph_AY1-3_PY3-4_Yield
MN22276,10155,6294.6,23Steph_AY1-3_PY3-4_Yield
MN22025,10155,7182.3,23Steph_AY1-3_PY3-4_Yield
MN22261,10155,5931.45,23Steph_AY1-3_PY3-4_Yield
MN22136,10155,6644.3,23Steph_AY1-3_PY3-4_Yield
MN22093W,10155,6785.525,23Steph_AY1-3_PY3-4_Yield
MN22089,10155,6772.075,23Steph_AY1-3_PY3-4_Yield
MN21263-3,10155,6906.575,23Steph_AY1-3_PY3-4_Yield
MN22455,10155,5904.55,23Steph_AY1-3_PY3-4_Yield
MN21332-3,10155,7229.375,23Steph_AY1-3_PY3-4_Yield
MN-TORGY,10155,6637.575,23Steph_AY1-3_PY3-4_Yield
MN22213,10155,6899.85,23Steph_AY1-3_PY3-4_Yield
MN-TORGY,10155,6529.975,23Steph_AY1-3_PY3-4_Yield
MN22018,10155,5904.55,23Steph_AY1-3_PY3-4_Yield
MN22249,10155,6476.175,23Steph_AY1-3_PY3-4_Yield
MN22408,10155,6065.95,23Steph_AY1-3_PY3-4_Yield
MN22322,10155,7357.15,23Steph_AY1-3_PY3-4_Yield
MN22118,10155,6617.4,23Steph_AY1-3_PY3-4_Yield
MN21045-1,10155,6429.1,23Steph_AY1-3_PY3-4_Yield
MN22106,10155,6321.5,23Steph_AY1-3_PY3-4_Yield
MN22349,10155,6509.8,23Steph_AY1-3_PY3-4_Yield
MN21287-2,10155,6267.7,23Steph_AY1-3_PY3-4_Yield
MN22196,10155,6281.15,23Steph_AY1-3_PY3-4_Yield
MN22429,10155,6711.55,23Steph_AY1-3_PY3-4_Yield
MN21316-3,10155,6274.425,23Steph_AY1-3_PY3-4_Yield
MN-TORGY,10155,5581.75,23Steph_AY1-3_PY3-4_Yield
MN22229,10155,5991.975,23Steph_AY1-3_PY3-4_Yield
MN22269,10155,6651.025,23Steph_AY1-3_PY3-4_Yield
MN22367,10155,5669.175,23Steph_AY1-3_PY3-4_Yield
MN22212,10155,6758.625,23Steph_AY1-3_PY3-4_Yield
MN22154,10155,7370.6,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,7464.75,23Steph_AY1-3_PY3-4_Yield
MN22278,10155,7195.75,23Steph_AY1-3_PY3-4_Yield
MN22457,10155,6523.25,23Steph_AY1-3_PY3-4_Yield
MN22314,10155,6308.05,23Steph_AY1-3_PY3-4_Yield
SHELLY,10155,6334.95,23Steph_AY1-3_PY3-4_Yield
MN22306,10155,6146.65,23Steph_AY1-3_PY3-4_Yield
MN22378,10155,7330.25,23Steph_AY1-3_PY3-4_Yield
MN22092,10155,6126.475,23Steph_AY1-3_PY3-4_Yield
MN22151,10155,6590.5,23Steph_AY1-3_PY3-4_Yield
MN22085,10155,6792.25,23Steph_AY1-3_PY3-4_Yield
MN22046,10155,5864.2,23Steph_AY1-3_PY3-4_Yield
MN21168-1,10155,7996.025,23Steph_AY1-3_PY3-4_Yield
MN22297,10155,6980.55,23Steph_AY1-3_PY3-4_Yield
MN22195,10155,6052.5,23Steph_AY1-3_PY3-4_Yield
MN21290-2,10155,6980.55,23Steph_AY1-3_PY3-4_Yield
MN22227,10155,7848.075,23Steph_AY1-3_PY3-4_Yield
MN21272-2,10155,7283.175,23Steph_AY1-3_PY3-4_Yield
MN22183,10155,7249.55,23Steph_AY1-3_PY3-4_Yield
MN22130,10155,6751.9,23Steph_AY1-3_PY3-4_Yield
MN22428,10155,7195.75,23Steph_AY1-3_PY3-4_Yield
MN22222,10155,6926.75,23Steph_AY1-3_PY3-4_Yield
SHELLY,10155,6926.75,23Steph_AY1-3_PY3-4_Yield
MN22131,10155,6637.575,23Steph_AY1-3_PY3-4_Yield
MN22369,10155,5884.375,23Steph_AY1-3_PY3-4_Yield
MN21354-3,10155,6920.025,23Steph_AY1-3_PY3-4_Yield
MN21357-5,10155,6334.95,23Steph_AY1-3_PY3-4_Yield
MN22228,10155,7155.4,23Steph_AY1-3_PY3-4_Yield
MN22101,10155,6388.75,23Steph_AY1-3_PY3-4_Yield
MN21482-1,10155,6193.725,23Steph_AY1-3_PY3-4_Yield
MN22341,10155,7101.6,23Steph_AY1-3_PY3-4_Yield
MN-ROTHSAY,10155,6745.175,23Steph_AY1-3_PY3-4_Yield
MN21405-3,10155,6415.65,23Steph_AY1-3_PY3-4_Yield
MN22058,10155,6442.55,23Steph_AY1-3_PY3-4_Yield
MN22313,10155,5951.625,23Steph_AY1-3_PY3-4_Yield
MN22285,10155,6913.3,23Steph_AY1-3_PY3-4_Yield
MN22160,10155,6980.55,23Steph_AY1-3_PY3-4_Yield
MN21073-3,10155,6408.925,23Steph_AY1-3_PY3-4_Yield
LINKERT,10155,6039.05,23Steph_AY1-3_PY3-4_Yield
MN21275-4,10155,6577.05,23Steph_AY1-3_PY3-4_Yield
MN22125,10155,6792.25,23Steph_AY1-3_PY3-4_Yield
MN22126,10155,6018.875,23Steph_AY1-3_PY3-4_Yield
MN22303,10155,6220.625,23Steph_AY1-3_PY3-4_Yield
MN22206,10155,5884.375,23Steph_AY1-3_PY3-4_Yield
MN22216,10155,6671.2,23Steph_AY1-3_PY3-4_Yield
MN22302,10155,6348.4,23Steph_AY1-3_PY3-4_Yield
LINKERT,10155,5649,23Steph_AY1-3_PY3-4_Yield
MN21114-1,10155,6328.225,23Steph_AY1-3_PY3-4_Yield
MN22399,10155,6126.475,23Steph_AY1-3_PY3-4_Yield
MN22319,10155,6529.975,23Steph_AY1-3_PY3-4_Yield
MN22358,10155,7249.55,23Steph_AY1-3_PY3-4_Yield
MN22097,10155,6718.275,23Steph_AY1-3_PY3-4_Yield
MN21087-1,10155,6819.15,23Steph_AY1-3_PY3-4_Yield
MN22301,10155,6624.125,23Steph_AY1-3_PY3-4_Yield
MN22218,10155,6476.175,23Steph_AY1-3_PY3-4_Yield
MN21065-2,10155,5978.525,23Steph_AY1-3_PY3-4_Yield
MN22286,10155,6086.125,23Steph_AY1-3_PY3-4_Yield
MN22405,10155,6644.3,23Steph_AY1-3_PY3-4_Yield
MN22406,10155,7094.875,23Steph_AY1-3_PY3-4_Yield
MN22373,10155,6630.85,23Steph_AY1-3_PY3-4_Yield
MN22086,10155,7101.6,23Steph_AY1-3_PY3-4_Yield
MN21337-1,10155,6866.225,23Steph_AY1-3_PY3-4_Yield
